Month,Demand (kWh),PV Production (kWh),Grid Import (kWh),Grid Export (kWh),PV Self-Consumption (kWh),Self-Sufficiency (kWh),Self-Consumption Rate (%),Self-Sufficiency Rate (%),Battery Charge (kWh),Battery Discharge (kWh)
jan,2111.08,393.17,1747.22,17.18,375.99,363.86,95.63,17.24,142.09,129.96
feb,1986.63,913.90,1389.60,297.07,616.83,597.04,67.49,30.05,239.00,219.21
mar,1849.14,1548.38,949.49,613.84,934.53,899.65,60.36,48.65,423.27,388.39
apr,1507.85,2757.16,583.57,1798.80,958.36,924.28,34.76,61.30,414.55,380.46
may,1462.03,3526.96,456.82,2486.76,1040.20,1005.22,29.49,68.75,425.19,390.21
jun,1040.86,4186.87,245.07,3361.92,824.96,795.79,19.70,76.46,351.86,322.69
jul,944.26,2967.15,190.23,2179.59,787.56,754.03,26.54,79.85,403.22,369.69
aug,1095.56,2813.88,231.07,1914.61,899.27,864.48,31.96,78.91,419.37,384.59
sep,1557.28,2538.31,712.23,1657.61,880.71,845.05,34.70,54.26,433.59,397.94
oct,1641.51,909.63,997.72,238.18,671.45,643.80,73.82,39.22,333.02,305.37
nov,1940.88,518.52,1494.99,52.86,465.66,445.89,89.81,22.97,235.11,215.34
dec,2244.25,214.35,2033.57,0.00,214.35,210.68,100.00,9.39,37.57,33.89
