Month,Demand (kWh),PV Production (kWh),Grid Import (kWh),Grid Export (kWh),PV Self-Consumption (kWh),Self-Sufficiency (kWh),Self-Consumption Rate (%),Self-Sufficiency Rate (%),Battery Charge (kWh),Battery Discharge (kWh)
jan,2111.08,393.17,1756.81,27.66,365.51,354.27,92.96,16.78,131.61,120.36
feb,1986.63,913.90,1419.11,329.21,584.69,567.52,63.98,28.57,206.86,189.70
mar,1849.14,1548.38,1016.70,687.16,861.22,832.44,55.62,45.02,349.96,321.18
apr,1507.85,2757.16,653.15,1874.73,882.43,854.70,32.01,56.68,338.62,310.89
may,1462.03,3526.96,526.49,2562.78,964.18,935.54,27.34,63.99,349.18,320.54
jun,1040.86,4186.87,285.59,3406.30,780.57,755.27,18.64,72.56,307.48,282.17
jul,944.26,2967.15,239.16,2233.25,733.90,705.09,24.73,74.67,349.56,320.75
aug,1095.56,2813.88,284.25,1972.80,841.08,811.31,29.89,74.05,361.18,331.41
sep,1557.28,2538.31,789.76,1742.17,796.14,767.52,31.37,49.29,349.03,320.40
oct,1641.51,909.63,1045.27,289.98,619.65,596.24,68.12,36.32,281.23,257.82
nov,1940.88,518.52,1518.16,78.32,440.20,422.72,84.90,21.78,209.65,192.17
dec,2244.25,214.35,2033.44,0.00,214.35,210.80,100.00,9.39,37.57,34.02
