Month,Demand (kWh),PV Production (kWh),Grid Import (kWh),Grid Export (kWh),PV Self-Consumption (kWh),Self-Sufficiency (kWh),Self-Consumption Rate (%),Self-Sufficiency Rate (%),Battery Charge (kWh),Battery Discharge (kWh)
jan,2111.08,393.17,1781.23,54.47,338.71,329.84,86.15,15.62,104.80,95.94
feb,1986.63,913.90,1464.35,378.52,535.38,522.29,58.58,26.29,157.55,144.46
mar,1849.14,1548.38,1109.76,788.67,759.71,739.38,49.06,39.99,248.45,228.12
apr,1507.85,2757.16,748.72,1978.90,778.26,759.13,28.23,50.35,234.45,215.32
may,1462.03,3526.96,631.23,2676.90,850.06,830.80,24.10,56.82,235.05,215.80
jun,1040.86,4186.87,361.17,3488.77,698.11,679.69,16.67,65.30,225.01,206.60
jul,944.26,2967.15,338.61,2341.78,625.37,605.65,21.08,64.14,241.03,221.31
aug,1095.56,2813.88,387.38,2085.37,728.51,708.18,25.89,64.64,248.61,228.28
sep,1557.28,2538.31,893.14,1854.83,683.48,664.13,26.93,42.65,236.37,217.02
oct,1641.51,909.63,1114.00,365.14,544.49,527.51,59.86,32.14,206.06,189.09
nov,1940.88,518.52,1564.44,128.88,389.64,376.44,75.15,19.40,159.09,145.89
dec,2244.25,214.35,2033.30,0.04,214.31,210.94,99.98,9.40,37.53,34.16
