Month,Demand (kWh),PV Production (kWh),Grid Import (kWh),Grid Export (kWh),PV Self-Consumption (kWh),Self-Sufficiency (kWh),Self-Consumption Rate (%),Self-Sufficiency Rate (%),Battery Charge (kWh),Battery Discharge (kWh)
jan,2111.08,393.17,1733.29,0.00,393.17,377.78,100.00,17.90,159.27,143.88
feb,1986.63,913.90,1162.75,47.92,865.98,823.88,94.76,41.47,488.15,446.05
mar,1849.14,1548.38,573.20,200.51,1347.87,1275.94,87.05,69.00,836.60,764.68
apr,1507.85,2757.16,124.70,1294.46,1462.70,1383.15,53.05,91.73,918.89,839.34
may,1462.03,3526.96,113.85,2109.74,1417.22,1348.18,40.18,92.21,802.21,733.18
jun,1040.86,4186.87,54.69,3151.43,1035.44,986.17,24.73,94.75,562.34,513.07
jul,944.26,2967.15,54.64,2028.28,938.87,889.62,31.64,94.21,554.52,505.28
aug,1095.56,2813.88,53.89,1717.91,1095.97,1041.67,38.95,95.08,616.08,561.77
sep,1557.28,2538.31,371.63,1282.94,1255.38,1185.64,49.46,76.14,808.26,738.53
oct,1641.51,909.63,819.34,41.23,868.40,822.17,95.47,50.09,529.97,483.75
nov,1940.88,518.52,1448.29,0.00,518.52,492.59,100.00,25.38,287.97,262.04
dec,2244.25,214.35,2035.57,0.00,214.35,208.68,100.00,9.30,39.46,33.79
